menu_id,tag
batch-05-004,batch-05
batch-05-004,sarapan
batch-05-004,tkpi-terukur
batch-05-005,batch-05
batch-05-005,sarapan
batch-05-005,tkpi-terukur
batch-05-006,batch-05
batch-05-006,sarapan
batch-05-006,tkpi-terukur
batch-05-007,batch-05
batch-05-007,sarapan
batch-05-007,tkpi-terukur
batch-05-008,batch-05
batch-05-008,sarapan
batch-05-008,tkpi-terukur
batch-05-009,batch-05
batch-05-009,sarapan
batch-05-009,tkpi-terukur
batch-05-010,batch-05
batch-05-010,sarapan
batch-05-010,tkpi-terukur
batch-05-011,batch-05
batch-05-011,sarapan
batch-05-011,tkpi-terukur
batch-05-012,batch-05
batch-05-012,sarapan
batch-05-012,tkpi-terukur
batch-05-013,batch-05
batch-05-013,sarapan
batch-05-013,tkpi-terukur
batch-05-014,batch-05
batch-05-014,sarapan
batch-05-014,tkpi-terukur
batch-05-015,batch-05
batch-05-015,sarapan
batch-05-015,tkpi-terukur
batch-05-016,batch-05
batch-05-016,makan-siang
batch-05-016,tkpi-terukur
batch-05-017,batch-05
batch-05-017,makan-siang
batch-05-017,tkpi-terukur
batch-05-018,batch-05
batch-05-018,makan-siang
batch-05-018,tkpi-terukur
batch-05-019,batch-05
batch-05-019,makan-siang
batch-05-019,tkpi-terukur
batch-05-020,batch-05
batch-05-020,makan-siang
batch-05-020,tkpi-terukur
batch-05-021,batch-05
batch-05-021,makan-siang
batch-05-021,tkpi-terukur
batch-05-022,batch-05
batch-05-022,makan-siang
batch-05-022,tkpi-terukur
batch-05-023,batch-05
batch-05-023,makan-siang
batch-05-023,tkpi-terukur
batch-05-024,batch-05
batch-05-024,makan-siang
batch-05-024,tkpi-terukur
batch-05-025,batch-05
batch-05-025,makan-siang
batch-05-025,tkpi-terukur
batch-05-026,batch-05
batch-05-026,makan-siang
batch-05-026,tkpi-terukur
batch-05-027,batch-05
batch-05-027,makan-siang
batch-05-027,tkpi-terukur
batch-05-028,batch-05
batch-05-028,makan-siang
batch-05-028,tkpi-terukur
batch-05-029,batch-05
batch-05-029,makan-siang
batch-05-029,tkpi-terukur
batch-05-030,batch-05
batch-05-030,makan-siang
batch-05-030,tkpi-terukur
batch-05-031,batch-05
batch-05-031,makan-siang
batch-05-031,tkpi-terukur
batch-05-032,batch-05
batch-05-032,makan-siang
batch-05-032,tkpi-terukur
batch-05-033,batch-05
batch-05-033,makan-siang
batch-05-033,tkpi-terukur
batch-05-034,batch-05
batch-05-034,makan-malam
batch-05-034,tkpi-terukur
batch-05-035,batch-05
batch-05-035,makan-malam
batch-05-035,tkpi-terukur
batch-05-036,batch-05
batch-05-036,makan-malam
batch-05-036,tkpi-terukur
batch-05-037,batch-05
batch-05-037,makan-malam
batch-05-037,tkpi-terukur
batch-05-038,batch-05
batch-05-038,makan-malam
batch-05-038,tkpi-terukur
batch-05-039,batch-05
batch-05-039,makan-malam
batch-05-039,tkpi-terukur
batch-05-040,batch-05
batch-05-040,makan-malam
batch-05-040,tkpi-terukur
batch-05-041,batch-05
batch-05-041,makan-malam
batch-05-041,tkpi-terukur
batch-05-042,batch-05
batch-05-042,makan-malam
batch-05-042,tkpi-terukur
batch-05-043,batch-05
batch-05-043,makan-malam
batch-05-043,tkpi-terukur
batch-05-044,batch-05
batch-05-044,makan-malam
batch-05-044,tkpi-terukur
batch-05-045,batch-05
batch-05-045,makan-malam
batch-05-045,tkpi-terukur
batch-05-046,batch-05
batch-05-046,makan-malam
batch-05-046,tkpi-terukur
batch-05-047,batch-05
batch-05-047,makan-malam
batch-05-047,tkpi-terukur
batch-05-048,batch-05
batch-05-048,makan-malam
batch-05-048,tkpi-terukur
batch-05-049,batch-05
batch-05-049,makan-malam
batch-05-049,tkpi-terukur
batch-05-050,batch-05
batch-05-050,makan-malam
batch-05-050,tkpi-terukur
batch-05-051,batch-05
batch-05-051,makan-malam
batch-05-051,tkpi-terukur
batch-05-052,batch-05
batch-05-052,camilan
batch-05-052,tkpi-terukur
batch-05-053,batch-05
batch-05-053,camilan
batch-05-053,tkpi-terukur
batch-05-054,batch-05
batch-05-054,camilan
batch-05-054,tkpi-terukur
batch-05-055,batch-05
batch-05-055,camilan
batch-05-055,tkpi-terukur
batch-05-056,batch-05
batch-05-056,camilan
batch-05-056,tkpi-terukur
batch-05-057,batch-05
batch-05-057,camilan
batch-05-057,tkpi-terukur
batch-05-058,batch-05
batch-05-058,camilan
batch-05-058,tkpi-terukur
batch-05-059,batch-05
batch-05-059,camilan
batch-05-059,tkpi-terukur
batch-05-060,batch-05
batch-05-060,camilan
batch-05-060,tkpi-terukur
batch-06-001,batch-06
batch-06-001,sarapan
batch-06-001,tkpi-terukur
batch-06-002,batch-06
batch-06-002,sarapan
batch-06-002,tkpi-terukur
batch-06-003,batch-06
batch-06-003,sarapan
batch-06-003,tkpi-terukur
batch-06-004,batch-06
batch-06-004,sarapan
batch-06-004,tkpi-terukur
batch-06-005,batch-06
batch-06-005,sarapan
batch-06-005,tkpi-terukur
batch-06-006,batch-06
batch-06-006,sarapan
batch-06-006,tkpi-terukur
batch-06-007,batch-06
batch-06-007,sarapan
batch-06-007,tkpi-terukur
batch-06-008,batch-06
batch-06-008,sarapan
batch-06-008,tkpi-terukur
batch-06-009,batch-06
batch-06-009,sarapan
batch-06-009,tkpi-terukur
batch-06-010,batch-06
batch-06-010,sarapan
batch-06-010,tkpi-terukur
batch-06-011,batch-06
batch-06-011,sarapan
batch-06-011,tkpi-terukur
batch-06-012,batch-06
batch-06-012,sarapan
batch-06-012,tkpi-terukur
batch-06-013,batch-06
batch-06-013,sarapan
batch-06-013,tkpi-terukur
batch-06-014,batch-06
batch-06-014,sarapan
batch-06-014,tkpi-terukur
batch-06-015,batch-06
batch-06-015,sarapan
batch-06-015,tkpi-terukur
batch-06-016,batch-06
batch-06-016,makan-siang
batch-06-016,tkpi-terukur
batch-06-017,batch-06
batch-06-017,makan-siang
batch-06-017,tkpi-terukur
batch-06-018,batch-06
batch-06-018,makan-siang
batch-06-018,tkpi-terukur
batch-06-019,batch-06
batch-06-019,makan-siang
batch-06-019,tkpi-terukur
batch-06-020,batch-06
batch-06-020,makan-siang
batch-06-020,tkpi-terukur
batch-06-021,batch-06
batch-06-021,makan-siang
batch-06-021,tkpi-terukur
batch-06-022,batch-06
batch-06-022,makan-siang
batch-06-022,tkpi-terukur
batch-06-023,batch-06
batch-06-023,makan-siang
batch-06-023,tkpi-terukur
batch-06-024,batch-06
batch-06-024,makan-siang
batch-06-024,tkpi-terukur
batch-06-025,batch-06
batch-06-025,makan-siang
batch-06-025,tkpi-terukur
batch-06-026,batch-06
batch-06-026,makan-siang
batch-06-026,tkpi-terukur
batch-06-027,batch-06
batch-06-027,makan-siang
batch-06-027,tkpi-terukur
batch-06-028,batch-06
batch-06-028,makan-siang
batch-06-028,tkpi-terukur
batch-06-029,batch-06
batch-06-029,makan-siang
batch-06-029,tkpi-terukur
batch-06-030,batch-06
batch-06-030,makan-siang
batch-06-030,tkpi-terukur
batch-06-031,batch-06
batch-06-031,makan-siang
batch-06-031,tkpi-terukur
batch-06-032,batch-06
batch-06-032,makan-siang
batch-06-032,tkpi-terukur
batch-06-033,batch-06
batch-06-033,makan-siang
batch-06-033,tkpi-terukur
batch-06-034,batch-06
batch-06-034,makan-malam
batch-06-034,tkpi-terukur
batch-06-035,batch-06
batch-06-035,makan-malam
batch-06-035,tkpi-terukur
batch-06-036,batch-06
batch-06-036,makan-malam
batch-06-036,tkpi-terukur
batch-06-037,batch-06
batch-06-037,makan-malam
batch-06-037,tkpi-terukur
batch-06-038,batch-06
batch-06-038,makan-malam
batch-06-038,tkpi-terukur
batch-06-039,batch-06
batch-06-039,makan-malam
batch-06-039,tkpi-terukur
batch-06-040,batch-06
batch-06-040,makan-malam
batch-06-040,tkpi-terukur
batch-06-041,batch-06
batch-06-041,makan-malam
batch-06-041,tkpi-terukur
batch-06-042,batch-06
batch-06-042,makan-malam
batch-06-042,tkpi-terukur
batch-06-043,batch-06
batch-06-043,makan-malam
batch-06-043,tkpi-terukur
batch-06-044,batch-06
batch-06-044,makan-malam
batch-06-044,tkpi-terukur
