rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__class_weight,param_classifier__criterion,param_classifier__max_depth,param_classifier__min_samples_leaf,param_classifier__min_samples_split,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,params
21,0.9351516332583723,0.02044168227740493,0.9807673215223867,0.003463716039921614,0.036106300354003903,0.009636954965296483,0.016201210021972657,0.001757718096280544,balanced,entropy,10,2,2,0.9017072346179852,0.9523692235514896,0.9576271186440678,0.9233766233766234,0.9406779661016949,"{'classifier__class_weight': 'balanced', 'classifier__criterion': 'entropy', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2}"
22,0.9344377173932982,0.01758159929992276,0.9756683567385116,0.002735938387421203,0.042627716064453126,0.0045083126982277035,0.021773242950439455,0.009391411864747245,balanced,entropy,,4,2,0.9017072346179852,0.949020737327189,0.9491379310344827,0.9406097210238712,0.931712962962963,"{'classifier__class_weight': 'balanced', 'classifier__criterion': 'entropy', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2}"
22,0.9344377173932982,0.01758159929992276,0.9756683567385116,0.002735938387421203,0.027591705322265625,0.0064349352001413195,0.017572832107543946,0.004946804218994927,balanced,entropy,,4,5,0.9017072346179852,0.949020737327189,0.9491379310344827,0.9406097210238712,0.931712962962963,"{'classifier__class_weight': 'balanced', 'classifier__criterion': 'entropy', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 5}"
22,0.9344377173932982,0.01758159929992276,0.9756683567385116,0.002735938387421203,0.03289141654968262,0.010359856417157788,0.012996339797973632,0.002412151132691949,balanced,entropy,15,4,2,0.9017072346179852,0.949020737327189,0.9491379310344827,0.9406097210238712,0.931712962962963,"{'classifier__class_weight': 'balanced', 'classifier__criterion': 'entropy', 'classifier__max_depth': 15, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2}"
22,0.9344377173932982,0.01758159929992276,0.9756683567385116,0.002735938387421203,0.033604001998901366,0.010655596805037519,0.017752981185913085,0.005905373988264603,balanced,entropy,15,4,5,0.9017072346179852,0.949020737327189,0.9491379310344827,0.9406097210238712,0.931712962962963,"{'classifier__class_weight': 'balanced', 'classifier__criterion': 'entropy', 'classifier__max_depth': 15, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 5}"
26,0.9344318358197512,0.020220351137582696,0.9927959633498483,0.0025425252548637524,0.029923152923583985,0.01554321101049577,0.018939638137817384,0.007797423540405553,balanced,gini,,1,5,0.9102061631198359,0.931712962962963,0.9575783721599079,0.9150345622119815,0.9576271186440678,"{'classifier__class_weight': 'balanced', 'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5}"
26,0.9344318358197512,0.020220351137582696,0.9927959633498483,0.0025425252548637524,0.034056568145751955,0.009231264478614446,0.018504619598388672,0.004974776283749844,balanced,gini,15,1,5,0.9102061631198359,0.931712962962963,0.9575783721599079,0.9150345622119815,0.9576271186440678,"{'classifier__class_weight': 'balanced', 'classifier__criterion': 'gini', 'classifier__max_depth': 15, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5}"
28,0.934417384622307,0.03013959822241037,0.9932197454884392,0.0015853708140548533,0.02508964538574219,0.006885844636171962,0.013583087921142578,0.005791423488902492,,entropy,,1,5,0.8928265559097202,0.9660919540229885,0.9660919540229884,0.9066724187517975,0.9404040404040404,"{'classifier__class_weight': None, 'classifier__criterion': 'entropy', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5}"
28,0.934417384622307,0.03013959822241037,0.9932197454884392,0.0015853708140548533,0.042979860305786134,0.010830199832153522,0.02117772102355957,0.007553923605080461,,entropy,15,1,5,0.8928265559097202,0.9660919540229885,0.9660919540229884,0.9066724187517975,0.9404040404040404,"{'classifier__class_weight': None, 'classifier__criterion': 'entropy', 'classifier__max_depth': 15, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5}"
30,0.9344065531920933,0.032608775330186045,0.9748116064053685,0.003341369979937709,0.05689635276794434,0.021741042280565996,0.0347175121307373,0.007427347065548319,,entropy,10,2,10,0.8757991388823032,0.9660919540229885,0.9576271186440678,0.9233766233766234,0.9491379310344827,"{'classifier__class_weight': None, 'classifier__criterion': 'entropy', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 10}"
